"SMILES","pts"
"OCC(O)C(O)C(O)C(O)C(=O)NCCC(O)=O",1.47628
"[K+].CCN(CC)C1=CC(=CC=C1)S([O-])(=O)=O",1.69424
"CCCCC(CC)C(=O)O[V](=O)=O",2.42322
"CCCCC(CC)C(=O)O[Mo](=O)(=O)OC(=O)C(CC)CCCC",3.59073
"CC\C(C)=N/O[Si](CCCOC(F)(F)C(F)F)(O\N=C(/C)CC)O\N=C(/C)CC",3.96442
"SCC(=O)O[Ce](OC(=O)CS)OC(=O)CS",4.35903
"SCC(=O)O[Nd](OC(=O)CS)OC(=O)CS",4.38215
"SCC(=O)O[La](OC(=O)CS)OC(=O)CS",4.37449
"CC(=O)OP(O)(=O)OC(C)=O",1.42798
"CCCCCCCCCCCCCCCCCC(=O)NC1=CC=CC=C1C(O)=O",2.99766
"CCCCCCCC\C=C\CCCCCCCC(=O)NC1=CC=CC=C1C(O)=O",3.4513
"N.NC1=CC(=C(C=C1)[N+]([O-])=O)S(O)(=O)=O",2.05258
"NC1=CC=C(C(=O)O[Mg]OC(=O)C2=CC=C(N)C=C2O)C(O)=C1",7.360057
"CC(C)CC(=O)\C=C(\C)O[Co](O\C(C)=C/C(=O)CC(C)C)O\C(C)=C\C(=O)CC(C)C",5.03509
"CC(C)CC(=O)\C=C(\C)O[Pd]O\C(C)=C\C(=O)CC(C)C",4.03027
"CC(C)CC(=O)\C=C(\C)O[In](O\C(C)=C/C(=O)CC(C)C)O\C(C)=C\C(=O)CC(C)C",5.00989
"CC(C)CC(=O)\C=C(/C)O[Ag]",2.7629
"CC(C)CC(=O)\C=C(\C)O[Fe]O\C(C)=C\C(=O)CC(C)C",3.82908
"CC(C)CC(=O)\C=C(\C)O[V](O\C(C)=C/C(=O)CC(C)C)O\C(C)=C\C(=O)CC(C)C",5.0652
"CC(C)CC(=O)\C=C(\C)O[V](=O)O\C(C)=C\C(=O)CC(C)C",4.14693
"CC(C)CC(=O)\C=C(\C)O[Ti](O\C(C)=C/C(=O)CC(C)C)O\C(C)=C\C(=O)CC(C)C",4.58766
"OC1=CC=CC=C1C(=O)O[Cu]O[Cu]OC(=O)C1=CC=CC=C1O",5.73398
"CCCCC1(CC=C)C(=O)NC(=O)NC1=O",2.10973
"CCCCNS(=O)(=O)C1=C(OC)C=CC(N)=C1",2.37917
"CCN(CC)[In](C)C",2.11346
"CC(C)N(C(C)C)[In](C)C",1.95603
"O=C(O[Mg]OC(=O)C1=CC(=O)C2=C(O1)C=CC=C2)C1=CC(=O)C2=C(O1)C=CC=C2",6.854735
"CC(NC(=O)C(O)C(C)(C)CO)C(=O)O[Mg]OC(=O)C(C)NC(=O)C(O)C(C)(C)CO",2.7184
